part_no,loop,x,y,point_kind,label,abs_dev_s5,abs_dev_s15,abs_dev_s40,grad_s5,grad_s15,grad_s40,dist_sign_boundary,dist_edge,local_std,rule_strength
67XX6,nested_shell_3,992.25,781.25,interpolated,0,0.15289491415023804,0.20439958572387695,0.3303210735321045,6.925437927246094,3.604363203048706,1.377072811126709,35.622901916503906,0.0,0.6124856472015381,0.1
67XX6,nested_shell_3,412.23077,774.38462,interpolated,1,0.680942714214325,0.6372866630554199,0.620899498462677,7.997189998626709,2.4728994369506836,1.0673447847366333,50.249820709228516,0.0,0.4152677655220032,0.3
71XX2,product_outer,663.0,523.0,exact,1,0.12636040151119232,0.42599648237228394,0.5248315930366516,2.5420796871185303,1.9660298824310303,0.9492843747138977,262.2940368652344,0.0,0.4796516001224518,9.9
71XX2,product_outer,590.0,321.0,exact,0,0.009608221240341663,0.29055583477020264,0.4688086211681366,2.644481897354126,2.438735008239746,1.0117161273956299,98.36499786376953,0.0,0.4985564947128296,9.9
71XX2,product_outer,129.90909,412.18182,interpolated,0,0.15329118072986603,0.3261028230190277,0.4715590476989746,5.316575527191162,2.8949482440948486,1.085404872894287,18.755901336669922,4.775000095367432,0.46816614270210266,0.1
71XX2,product_outer,342.75,508.75,interpolated,1,0.2118930220603943,0.44915372133255005,0.519257128238678,6.197634696960449,2.2164292335510254,0.8056057691574097,176.2184295654297,4.775000095367432,0.4587307572364807,0.1
71XX2,product_outer,956.75,539.25,interpolated,0,0.24111337959766388,0.5202574133872986,0.6475273966789246,3.5041277408599854,1.3019078969955444,0.6082438230514526,446.5509033203125,5.730000019073486,0.4571439027786255,0.1
71XX2,product_outer,1096.14286,420.71429,interpolated,0,0.20482614636421204,0.3505482077598572,0.5776921510696411,6.124966144561768,2.67121958732605,0.8849753737449646,391.4490661621094,3.6935999393463135,0.4967597424983978,0.3
71XX2,product_outer,997.4,399.6,interpolated,0,0.10354463756084442,0.31290915608406067,0.4419845938682556,0.4578320384025574,2.2302374839782715,0.8361033201217651,330.37921142578125,9.009300231933594,0.43845632672309875,0.2
71XX2,product_outer,853.33333,370.33333,interpolated,0,0.11249777674674988,0.3919669985771179,0.5368102788925171,3.8461179733276367,2.343532085418701,0.8444961309432983,259.7603759765625,6.684999942779541,0.477157860994339,0.1
